City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
281,Bambanglipuro,ID,76.78,clear sky,-7.95,110.2833,Puri Brata
282,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
283,Guerrero Negro,MX,75.15,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
284,Olean,US,82.09,broken clouds,42.0776,-78.4297,Best Western Plus University Inn
285,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
286,Talnakh,RU,63.86,broken clouds,69.4865,88.3972,Talnakh Hotel
289,Olavarria,AR,67.89,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
290,Myitkyina,MM,76.51,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
291,Pinega,RU,63.48,overcast clouds,64.7001,43.3936,"Gostevoy Dom Ooo ""Pinezh'yeles"""
292,Dingzhou,CN,75.31,clear sky,38.5131,114.9956,宜家时尚宾馆
293,Akonolinga,CM,71.29,light rain,3.7667,12.25,Le Diamant De Mireille
294,Pochutla,MX,84.54,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
296,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
298,Panzhihua,CN,78.53,overcast clouds,26.5851,101.7128,Electric Power Hotel
299,Lebowakgomo,ZA,72.5,clear sky,-24.2,29.5,Chuene Resort
300,Copala,MX,82.87,overcast clouds,16.65,-98.9833,Biol. Fernando Martinez Salgado
301,Port-Gentil,GA,78.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
303,North Bend,US,63.16,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
305,San Isidro,PE,62.26,overcast clouds,-12.1167,-77.05,Soul Mate-Inn
306,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
307,Mandalgovi,MN,64.42,overcast clouds,45.7625,106.2708,В.Ганбат
308,Cody,US,70.02,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
309,Mayo,US,81.36,moderate rain,38.8876,-76.5119,Resorts Resource Group International
310,Olafsvik,IS,54.82,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
312,Mungaoli,IN,78.19,overcast clouds,24.4167,78.1,Rajendra Marriage Garden
316,Yanaul,RU,66.27,overcast clouds,56.2719,54.9309,Kama
317,Springfield,US,84.42,clear sky,37.2153,-93.2982,University Plaza Hotel & Convention Center
320,Los Llanos De Aridane,ES,73.15,broken clouds,28.6585,-17.9182,Valle Aridane
322,Hay River,CA,60.78,moderate rain,60.8156,-115.7999,Ptarmigan Inn
323,Lorengau,PG,79.48,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
324,Sao Filipe,CV,78.75,scattered clouds,14.8961,-24.4956,Hotel Xaguate
325,Verkhoturye,RU,53.69,overcast clouds,58.8627,60.8054,Guest house Babinov
326,Antsla,EE,67.75,light rain,57.8256,26.5406,Hämariku Talu
328,San Quintin,MX,70.38,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
329,Shimoda,JP,78.6,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
330,Portland,US,71.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
331,Yuzhnyy,RU,68.38,smoke,53.2542,83.6936,Парк-отель Лесные дали
332,De-Kastri,RU,52.93,overcast clouds,51.4667,140.7833,Somon Hotel
334,Kirovohrad,UA,72.68,overcast clouds,48.5132,32.2597,Reikartz Кропивницький
335,Tarnogskiy Gorodok,RU,64.27,overcast clouds,60.4997,43.5761,Hotel Rus
336,Hailar,CN,62.89,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
338,Zaysan,KZ,68.43,broken clouds,47.4667,84.8667,Ерлан үй
339,High Level,CA,59.11,scattered clouds,58.5169,-117.136,Days Inn by Wyndham High Level
341,Kinablangan,PH,78.33,overcast clouds,7.6947,126.5503,Danny Moreno Property
342,Roald,NO,77.16,clear sky,62.5833,6.1333,Flem Cabins
343,Cosala,MX,80.11,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
344,Mackay,AU,58.05,scattered clouds,-21.15,149.2,International Lodge Motel
345,Taltal,CL,57.56,few clouds,-25.4,-70.4833,Residencial Karime
346,Regina,CA,69.91,smoke,50.4501,-104.6178,Wingate by Wyndham Regina
347,Omboue,GA,76.68,overcast clouds,-1.5746,9.2618,Hotel Olako
348,Scarborough,GB,64.78,overcast clouds,54.2797,-0.4044,Ambassador Roomzzz
349,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
350,Zheleznogorsk,RU,79.61,overcast clouds,52.331,35.3711,"Hotel ""Zheleznogorsk"""
352,Elizabeth City,US,82.98,light rain,36.2946,-76.2511,Hampton Inn Elizabeth City
354,Nenjiang,CN,64.51,few clouds,49.1833,125.2167,Nenjiang Apartment
356,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
357,Nishihara,JP,83.86,mist,26.1842,127.7558,Minshuku Agaihama
