City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Waddan,LY,2021-08-06 21:39:12,29.1614,16.139,93.04,11,0,5.39
239,Petropavlovsk-Kamchatskiy,RU,2021-08-06 21:39:12,53.0452,158.6483,50.59,82,75,4.47
240,Urucara,BR,2021-08-06 21:39:13,-2.5364,-57.76,80.98,70,63,1.5
241,Merauke,ID,2021-08-06 21:39:13,-8.4667,140.3333,75.54,82,100,12.97
242,Aksu,CN,2021-08-06 21:39:13,41.1231,80.2644,73.47,45,95,6.62
243,Geraldton,AU,2021-08-06 21:39:14,-28.7667,114.6,54.01,58,90,11.5
244,Port Macquarie,AU,2021-08-06 21:34:14,-31.4333,152.9167,39.16,70,0,3.42
245,Lac Du Bonnet,CA,2021-08-06 21:39:14,50.2536,-96.0612,79.95,31,75,4.09
246,Boca Do Acre,BR,2021-08-06 21:39:14,-8.7522,-67.3978,87.64,34,0,2.06
247,Saint-Pierre,RE,2021-08-06 21:39:15,-21.3393,55.4781,65.84,78,20,4.61
248,Najran,SA,2021-08-06 21:39:15,17.4924,44.1277,88.45,37,59,7.0
249,Paso De Los Toros,UY,2021-08-06 21:39:15,-32.8167,-56.5167,62.01,80,6,9.24
250,Salym,RU,2021-08-06 21:39:15,60.0625,71.4789,60.01,88,29,4.5
251,Taunggyi,MM,2021-08-06 21:39:16,20.7833,97.0333,63.52,96,100,3.6
252,Ena,JP,2021-08-06 21:39:16,35.4498,137.4128,79.99,82,31,2.71
253,Puerto Del Rosario,ES,2021-08-06 21:39:17,28.5004,-13.8627,73.15,78,20,16.11
254,Santa Rita Do Sapucai,BR,2021-08-06 21:39:17,-22.2522,-45.7033,62.28,63,100,4.81
255,Ormara,PK,2021-08-06 21:39:17,25.2088,64.6357,80.08,87,43,9.44
256,Chisec,GT,2021-08-06 21:39:18,15.8167,-90.2833,91.63,84,100,1.79
257,San Policarpo,PH,2021-08-06 21:39:18,12.1791,125.5072,79.74,80,83,5.39
258,Uthal,PK,2021-08-06 21:39:19,25.8072,66.6219,81.81,78,81,3.31
259,Sevilla,ES,2021-08-06 21:39:19,37.3824,-5.9761,83.57,45,0,3.0
260,Beringovskiy,RU,2021-08-06 21:39:19,63.05,179.3167,44.47,93,100,17.0
261,Kailua,US,2021-08-06 21:39:19,21.4022,-157.7394,86.02,65,40,12.66
262,Graaff-Reinet,ZA,2021-08-06 21:39:20,-32.2522,24.5308,51.64,38,0,1.66
263,Muros,ES,2021-08-06 21:39:20,42.7762,-9.0603,65.23,91,88,8.16
264,Te Anau,NZ,2021-08-06 21:39:21,-45.4167,167.7167,41.45,82,94,6.49
265,Nachod,CZ,2021-08-06 21:39:21,50.4167,16.1629,63.32,97,51,4.18
266,Peniche,PT,2021-08-06 21:39:21,39.3558,-9.3811,68.61,86,53,7.47
267,Cidreira,BR,2021-08-06 21:39:22,-30.1811,-50.2056,61.18,92,100,17.31
