City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,De-Kastri,RU,51.4667,140.7833,52.93,85,100,11.92,overcast clouds
333,Annau,TM,37.8876,58.516,99.9,14,20,4.61,few clouds
334,Kirovohrad,UA,48.5132,32.2597,72.68,55,91,14.34,overcast clouds
335,Tarnogskiy Gorodok,RU,60.4997,43.5761,64.27,62,100,7.52,overcast clouds
336,Hailar,CN,49.2,119.7,62.89,77,2,9.95,clear sky
337,Mount Gambier,AU,-37.8333,140.7667,37.31,100,75,0.0,broken clouds
338,Zaysan,KZ,47.4667,84.8667,68.43,36,73,8.79,broken clouds
339,High Level,CA,58.5169,-117.136,59.11,82,40,3.44,scattered clouds
340,Guamuchil,MX,25.4667,-108.1,86.76,84,100,2.53,overcast clouds
341,Kinablangan,PH,7.6947,126.5503,78.33,87,98,5.7,overcast clouds
342,Roald,NO,62.5833,6.1333,77.16,46,0,12.66,clear sky
343,Cosala,MX,24.4125,-106.6908,80.11,64,95,1.12,overcast clouds
344,Mackay,AU,-21.15,149.2,58.05,100,40,5.75,scattered clouds
345,Taltal,CL,-25.4,-70.4833,57.56,73,21,5.39,few clouds
346,Regina,CA,50.4501,-104.6178,69.91,69,20,12.66,smoke
347,Omboue,GA,-1.5746,9.2618,76.68,75,97,9.06,overcast clouds
